URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7.0,1.0,0.7499999062500118,0.03652968019849461,15.625,0.58,6.481999999999999,15.625,145.0,250.0,3.103734439834025,2.0,8.272
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,13.0,8.0,0.23809522675737013,0.04516129022545959,12.847826086956522,0.4619289340101523,5.32390200838667,12.847826086956522,273.0,584.0,2.6545768566493955,8.0,7.273972602739726
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13.0,3.0,0.6249999609375024,0.06557377022305833,15.333333333333334,0.5833333333333334,6.366666666666667,15.333333333333334,161.0,276.0,3.078358208955224,2.0,8.195652173913043
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,24.0,11.0,0.37142856081632686,0.07829977611118619,13.916666666666666,0.654690618762475,5.828542914171656,13.916666666666666,328.0,501.0,3.15625,4.0,8.461077844311378
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,6.0,1.0,0.7142856122449125,0.032558139383450514,14.705882352941176,0.544,6.099952941176471,14.705882352941176,136.0,250.0,3.1106382978723404,2.0,8.244
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7.0,1.0,0.7499999062500118,0.03652968019849461,15.625,0.58,6.481999999999999,15.625,145.0,250.0,3.103734439834025,2.0,8.272
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,13.0,8.0,0.23809522675737013,0.04516129022545959,12.847826086956522,0.4619289340101523,5.32390200838667,12.847826086956522,273.0,584.0,2.6545768566493955,8.0,7.273972602739726
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,13.0,3.0,0.6249999609375024,0.06557377022305833,15.333333333333334,0.5833333333333334,6.366666666666667,15.333333333333334,161.0,276.0,3.078358208955224,2.0,8.195652173913043
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,24.0,11.0,0.37142856081632686,0.07829977611118619,13.916666666666666,0.654690618762475,5.828542914171656,13.916666666666666,328.0,501.0,3.15625,4.0,8.461077844311378
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,58.0,17.0,0.5466666593777779,0.06861848118150184,10.782608695652174,0.6282258064516129,4.564333800841515,10.782608695652174,779.0,1239.0,3.1159539473684212,2.0,8.150121065375302
